Age,Gender,total_raw_score,T_score
CHILD,Male,0,37
CHILD,Male,1,37
CHILD,Male,2,37
CHILD,Male,3,38
CHILD,Male,4,38
CHILD,Male,5,39
CHILD,Male,6,39
CHILD,Male,7,39
CHILD,Male,8,40
CHILD,Male,9,40
CHILD,Male,10,41
CHILD,Male,11,41
CHILD,Male,12,41
CHILD,Male,13,42
CHILD,Male,14,42
CHILD,Male,15,43
CHILD,Male,16,43
CHILD,Male,17,43
CHILD,Male,18,44
CHILD,Male,19,44
CHILD,Male,20,45
CHILD,Male,21,45
CHILD,Male,22,45
CHILD,Male,23,46
CHILD,Male,24,46
CHILD,Male,25,47
CHILD,Male,26,47
CHILD,Male,27,47
CHILD,Male,28,48
CHILD,Male,29,48
CHILD,Male,30,49
CHILD,Male,31,49
CHILD,Male,32,49
CHILD,Male,33,50
CHILD,Male,34,50
CHILD,Male,35,51
CHILD,Male,36,51
CHILD,Male,37,51
CHILD,Male,38,52
CHILD,Male,39,52
CHILD,Male,40,53
CHILD,Male,41,53
CHILD,Male,42,53
CHILD,Male,43,54
CHILD,Male,44,54
CHILD,Male,45,55
CHILD,Male,46,55
CHILD,Male,47,55
CHILD,Male,48,56
CHILD,Male,49,56
CHILD,Male,50,57
CHILD,Male,51,57
CHILD,Male,52,57
CHILD,Male,53,58
CHILD,Male,54,58
CHILD,Male,55,58
CHILD,Male,56,59
CHILD,Male,57,59
CHILD,Male,58,60
CHILD,Male,59,60
CHILD,Male,60,60
CHILD,Male,61,61
CHILD,Male,62,61
CHILD,Male,63,62
CHILD,Male,64,62
CHILD,Male,65,62
CHILD,Male,66,63
CHILD,Male,67,63
CHILD,Male,68,64
CHILD,Male,69,64
CHILD,Male,70,64
CHILD,Male,71,65
CHILD,Male,72,65
CHILD,Male,73,66
CHILD,Male,74,66
CHILD,Male,75,66
CHILD,Male,76,67
CHILD,Male,77,67
CHILD,Male,78,68
CHILD,Male,79,68
CHILD,Male,80,68
CHILD,Male,81,69
CHILD,Male,82,69
CHILD,Male,83,70
CHILD,Male,84,70
CHILD,Male,85,70
CHILD,Male,86,71
CHILD,Male,87,71
CHILD,Male,88,72
CHILD,Male,89,72
CHILD,Male,90,72
CHILD,Male,91,73
CHILD,Male,92,73
CHILD,Male,93,74
CHILD,Male,94,74
CHILD,Male,95,74
CHILD,Male,96,75
CHILD,Male,97,75
CHILD,Male,98,76
CHILD,Male,99,76
CHILD,Male,100,76
CHILD,Male,101,77
CHILD,Male,102,77
CHILD,Male,103,78
CHILD,Male,104,78
CHILD,Male,105,78
CHILD,Male,106,79
CHILD,Male,107,79
CHILD,Male,108,80
CHILD,Male,109,80
CHILD,Male,110,80
CHILD,Male,111,81
CHILD,Male,112,81
CHILD,Male,113,82
CHILD,Male,114,82
CHILD,Male,115,82
CHILD,Male,116,83
CHILD,Male,117,83
CHILD,Male,118,83
CHILD,Male,119,84
CHILD,Male,120,84
CHILD,Male,121,85
CHILD,Male,122,85
CHILD,Male,123,85
CHILD,Male,124,86
CHILD,Male,125,86
CHILD,Male,126,87
CHILD,Male,127,87
CHILD,Male,128,87
CHILD,Male,129,88
CHILD,Male,130,88
CHILD,Male,131,89
CHILD,Male,132,89
CHILD,Male,133,89
CHILD,Male,134,90
CHILD,Male,135,90
CHILD,Male,136,90
CHILD,Male,137,90
CHILD,Male,138,90
CHILD,Male,139,90
CHILD,Male,140,90
CHILD,Male,141,90
CHILD,Male,142,90
CHILD,Male,143,90
CHILD,Male,144,90
CHILD,Male,145,90
CHILD,Male,146,90
CHILD,Male,147,90
CHILD,Male,148,90
CHILD,Male,149,90
CHILD,Male,150,90
CHILD,Male,151,90
CHILD,Male,152,90
CHILD,Male,153,90
CHILD,Male,154,90
CHILD,Male,155,90
CHILD,Male,156,90
CHILD,Male,157,90
CHILD,Male,158,90
CHILD,Male,159,90
CHILD,Male,160,90
CHILD,Male,161,90
CHILD,Male,162,90
CHILD,Male,163,90
CHILD,Male,164,90
CHILD,Male,165,90
CHILD,Male,166,90
CHILD,Male,167,90
CHILD,Male,168,90
CHILD,Male,169,90
CHILD,Male,170,90
CHILD,Male,171,90
CHILD,Male,172,90
CHILD,Male,173,90
CHILD,Male,174,90
CHILD,Male,175,90
CHILD,Male,176,90
CHILD,Male,177,90
CHILD,Male,178,90
CHILD,Male,179,90
CHILD,Male,180,90
CHILD,Male,181,90
CHILD,Male,182,90
CHILD,Male,183,90
CHILD,Male,184,90
CHILD,Male,185,90
CHILD,Male,186,90
CHILD,Male,187,90
CHILD,Male,188,90
CHILD,Male,189,90
CHILD,Male,190,90
CHILD,Male,191,90
CHILD,Male,192,90
CHILD,Male,193,90
CHILD,Male,194,90
CHILD,Male,195,90
CHILD,Female,0,38
CHILD,Female,1,38
CHILD,Female,2,39
CHILD,Female,3,39
CHILD,Female,4,39
CHILD,Female,5,40
CHILD,Female,6,40
CHILD,Female,7,41
CHILD,Female,8,41
CHILD,Female,9,42
CHILD,Female,10,42
CHILD,Female,11,42
CHILD,Female,12,43
CHILD,Female,13,43
CHILD,Female,14,44
CHILD,Female,15,44
CHILD,Female,16,45
CHILD,Female,17,45
CHILD,Female,18,45
CHILD,Female,19,46
CHILD,Female,20,46
CHILD,Female,21,47
CHILD,Female,22,47
CHILD,Female,23,47
CHILD,Female,24,48
CHILD,Female,25,48
CHILD,Female,26,49
CHILD,Female,27,49
CHILD,Female,28,50
CHILD,Female,29,50
CHILD,Female,30,50
CHILD,Female,31,51
CHILD,Female,32,51
CHILD,Female,33,52
CHILD,Female,34,52
CHILD,Female,35,53
CHILD,Female,36,53
CHILD,Female,37,53
CHILD,Female,38,54
CHILD,Female,39,54
CHILD,Female,40,55
CHILD,Female,41,55
CHILD,Female,42,55
CHILD,Female,43,56
CHILD,Female,44,56
CHILD,Female,45,57
CHILD,Female,46,57
CHILD,Female,47,58
CHILD,Female,48,58
CHILD,Female,49,58
CHILD,Female,50,59
CHILD,Female,51,59
CHILD,Female,52,60
CHILD,Female,53,60
CHILD,Female,54,61
CHILD,Female,55,61
CHILD,Female,56,61
CHILD,Female,57,62
CHILD,Female,58,62
CHILD,Female,59,63
CHILD,Female,60,63
CHILD,Female,61,64
CHILD,Female,62,64
CHILD,Female,63,64
CHILD,Female,64,65
CHILD,Female,65,65
CHILD,Female,66,66
CHILD,Female,67,66
CHILD,Female,68,66
CHILD,Female,69,67
CHILD,Female,70,67
CHILD,Female,71,68
CHILD,Female,72,68
CHILD,Female,73,69
CHILD,Female,74,69
CHILD,Female,75,69
CHILD,Female,76,70
CHILD,Female,77,70
CHILD,Female,78,71
CHILD,Female,79,71
CHILD,Female,80,72
CHILD,Female,81,72
CHILD,Female,82,72
CHILD,Female,83,73
CHILD,Female,84,73
CHILD,Female,85,74
CHILD,Female,86,74
CHILD,Female,87,74
CHILD,Female,88,75
CHILD,Female,89,75
CHILD,Female,90,76
CHILD,Female,91,76
CHILD,Female,92,77
CHILD,Female,93,77
CHILD,Female,94,77
CHILD,Female,95,78
CHILD,Female,96,78
CHILD,Female,97,79
CHILD,Female,98,79
CHILD,Female,99,80
CHILD,Female,100,80
CHILD,Female,101,80
CHILD,Female,102,81
CHILD,Female,103,81
CHILD,Female,104,82
CHILD,Female,105,82
CHILD,Female,106,82
CHILD,Female,107,83
CHILD,Female,108,83
CHILD,Female,109,84
CHILD,Female,110,84
CHILD,Female,111,85
CHILD,Female,112,85
CHILD,Female,113,85
CHILD,Female,114,86
